ID,firstName
525fn,Matthäus
526fn,Meik
527fn,Fernando
528fn,Jens-Peter
529fn,Hansjürgen
530fn,Sepp
531fn,Roy
532fn,Lambert
533fn,Guntram
534fn,Diedrich
535fn,Yilmaz
536fn,Damian
537fn,Constantin
538fn,Abdullah
539fn,Stanislaus
540fn,Ole
541fn,Andrei
542fn,Sieghard
543fn,Karl-Peter
544fn,Steve
545fn,Patrik
546fn,Jurij
547fn,Reimer
548fn,Cord
549fn,Ismet
550fn,Iwan
551fn,Niko
552fn,Tilman
553fn,Ömer
554fn,Volkhard
555fn,Raymond
556fn,Burkhardt
557fn,Pasquale
558fn,Nicolai
559fn,Kilian
560fn,Pius
561fn,Erol
562fn,Wolfhard
563fn,Branko
564fn,Adelbert
565fn,Ditmar
566fn,Paolo
567fn,Stephen
568fn,Jacob
569fn,Hans-Michael
570fn,Valerij
571fn,Ahmad
572fn,German
573fn,Dominic
574fn,Harm
575fn,Hajo
576fn,Stjepan
577fn,Zeljko
578fn,Hassan
579fn,Pavel
580fn,Patric
581fn,Orhan
582fn,Herrmann
583fn,Reinhart
584fn,Laszlo
585fn,Hans-Herbert
586fn,Hans-Helmut
587fn,Mohammed
588fn,Tadeusz
589fn,Claudius
590fn,Athanasios
591fn,Fredy
592fn,Luis
593fn,Randolf
594fn,Andrew
595fn,George
596fn,Krzysztof
597fn,Petar
598fn,Ferdi
599fn,Goran
600fn,Curt
601fn,Baldur
602fn,Hans-Erich
603fn,Karl-Hans
604fn,Charles
605fn,Kristian
606fn,Arnim
607fn,Frederik
608fn,Timm
609fn,Ricardo
610fn,Carmelo
611fn,Alf
612fn,Janos
613fn,Gerhart
614fn,Carl-Heinz
615fn,Juan
616fn,Kunibert
617fn,Gundolf
618fn,Süleyman
619fn,Aribert
620fn,Hakan
621fn,Stanislav
622fn,Alexej
623fn,Tibor
624fn,Heinz-Willi
625fn,Mahmut
626fn,Hans-Henning
627fn,Holm
628fn,Ramon
629fn,Ante
630fn,Adem
631fn,Hans-Gerhard
632fn,Dariusz
633fn,Urban
634fn,Pedro
635fn,Hans-Uwe
636fn,Gaetano
637fn,Hans-Ludwig
638fn,Burkard
639fn,Hans-Dietrich
640fn,Hans-Friedrich
641fn,Jaroslaw
642fn,Hans-Karl
643fn,Wolf-Dietrich
644fn,Heinz-Günther
645fn,Henner
646fn,Tomislav
647fn,Vitus
648fn,Toralf
649fn,Sergei
650fn,Freddy
651fn,Ingmar
652fn,Salih
653fn,Walfried
654fn,José
655fn,Dittmar
656fn,Recep
657fn,Erhardt
658fn,Istvan
659fn,Birger
660fn,Ottomar
661fn,Heinz-Gerd
662fn,Tomas
663fn,Justus
664fn,Vito
665fn,Ryszard
666fn,Evangelos
667fn,Dusan
668fn,Anatolij
669fn,Aleksander
670fn,Sami
671fn,Zoltan
672fn,Cengiz
673fn,Raik
674fn,Hartmuth
675fn,Sigmar
676fn,Leszek
677fn,Leon
678fn,Cemal
679fn,Sylvio
680fn,Hans-Albert
681fn,Eckhart
682fn,Wieslaw
683fn,Frank-Michael
684fn,Willfried
685fn,Leonard
686fn,Rolf-Peter
687fn,Ralf-Peter
688fn,Franjo
689fn,Othmar
690fn,Karl-Dieter
691fn,Brian
692fn,Anselm
693fn,Fedor
694fn,Slavko
695fn,Calogero
696fn,Alban
697fn,Kasimir
698fn,Vassilios
699fn,Emmerich
700fn,Niklas
701fn,Danilo
702fn,Pawel
703fn,Harold
704fn,Hans-Rudolf
705fn,Tilmann
706fn,Hermann
707fn,Vadim
708fn,Theodoros
709fn,Tony
710fn,Miguel
711fn,Michail
712fn,Klaus-D.
713fn,Donald
714fn,Cosimo
715fn,Guenther
716fn,Frithjof
717fn,Slobodan
718fn,Robby
719fn,Kornelius
720fn,Ilja
721fn,Jochem
722fn,Leander
723fn,Ilija
724fn,Alberto
725fn,Tomasz
726fn,Wojciech
727fn,Bernfried
728fn,Theobald
729fn,Attila
730fn,Franz-Peter
731fn,Louis
732fn,Heinz-Wilhelm
733fn,Witold
734fn,Jobst
735fn,Ernst-Otto
736fn,Erdogan
737fn,Karl-Georg
738fn,Eberhardt
739fn,Hans-Rainer
740fn,Traugott
741fn,Oswin
742fn,Burckhard
743fn,Anthony
744fn,Hans-Theo
745fn,Paul-Gerhard
746fn,Reimar
747fn,Jonathan
748fn,Anastasios
749fn,Thaddäus
750fn,Franz-Xaver
751fn,Alessandro
752fn,Enver
753fn,Romuald
754fn,Hans-Bernd
755fn,Drago
756fn,Hans-H.
757fn,Aleksandr
758fn,Alexandre
759fn,Augustin
760fn,Thies
761fn,Jan-Peter
762fn,Frederic
763fn,Sergio
764fn,Heinz-Otto
765fn,Gerard
766fn,Maurice
767fn,Karl-August
768fn,Friedhold
769fn,Denny
770fn,Balthasar
771fn,Samir
772fn,Bayram
773fn,Jaroslav
774fn,Filippo
775fn,Erkan
776fn,Mato
777fn,Jozef
778fn,Jiri
779fn,Dagobert
780fn,Aziz
781fn,Zeki
782fn,Bartholomäus
783fn,Leonardo
784fn,Isidor
785fn,Hansgeorg
786fn,Sahin
787fn,Muzaffer
788fn,Claas
789fn,Nick
790fn,Sandor
791fn,Gottlob
792fn,Jann
793fn,Arif
794fn,Karl-Werner
795fn,Horst-Günter
796fn,Erdal
797fn,Stefano
798fn,Marijan
799fn,Saban
800fn,Mariusz
801fn,Kenan
802fn,Daniele
803fn,Urs
804fn,Ercan
805fn,Slawomir
806fn,Remo
807fn,Amir
808fn,Zlatko
809fn,Jorge
810fn,Alfredo
811fn,Ilias
812fn,Ladislaus
813fn,Sabri
814fn,Laurenz
815fn,Maurizio
816fn,Diether
817fn,Anatol
818fn,Linus
819fn,Edelbert
820fn,Bernt
821fn,Darko
822fn,Jörg-Peter
823fn,Heinz
824fn,Dan
825fn,Thoralf
826fn,Johan
827fn,Phillip
828fn,Horst-Peter
829fn,Heinfried
830fn,Eitel
831fn,Luciano
832fn,Ottokar
833fn,Bekir
834fn,Friedrich-Karl
835fn,Gotthilf
836fn,Gerfried
837fn,Antonino
838fn,Hans-Wolfgang
839fn,Baptist
840fn,Hans
841fn,Antonios
842fn,Wigbert
843fn,Philippe
844fn,Hans
845fn,Ben
846fn,Czeslaw
847fn,Kamil
848fn,Gerwin
849fn,Micha
850fn,Jörgen
851fn,Frank-Peter
852fn,Ernst-Dieter
853fn,Rochus
854fn,Geert
855fn,Gabor
856fn,Folker
857fn,Vlado
858fn,Korbinian
859fn,Ferenc
860fn,Ekrem
861fn,Stavros
862fn,Renato
863fn,Raymund
864fn,Celal
865fn,Vincent
866fn,Mikhail
867fn,Ingbert
868fn,Karlfried
869fn,Andres
870fn,Nikolas
871fn,Ottfried
872fn,Hans-Adolf
873fn,Klaus-Werner
874fn,Petros
875fn,Alexandros
876fn,Immo
877fn,Severin
878fn,Necati
879fn,Leif
880fn,Paul-Heinz
881fn,Massimo
882fn,Kenneth
883fn,Dogan
884fn,Sylvester
885fn,Hansjoachim
886fn,Maxim
887fn,Knud
888fn,Sigfried
889fn,Siegward
890fn,Sedat
891fn,Mahmoud
892fn,Gotthold
893fn,Gereon
894fn,Hans-Eberhard
895fn,Alan
896fn,Reza
897fn,Folkert
898fn,Ehrhard
899fn,Emin
900fn,Apostolos
901fn,Heinz-Walter
902fn,Utz
903fn,Veli
904fn,Nicolaus
905fn,Klaas
906fn,H.-Dieter
907fn,Rudolph
908fn,Serge
909fn,Jovan
910fn,Abdul
911fn,Kazim
912fn,Klaus-Michael
913fn,Alfonso
914fn,Aleksandar
915fn,Roderich
916fn,Rouven
917fn,Hans-Detlef
918fn,Berend
919fn,Tassilo
920fn,Sükrü
921fn,Gunar
922fn,Vinko
923fn,Ruben
924fn,Ron
925fn,Andrey
926fn,Aldo
927fn,Paulo
928fn,Peter-Michael
929fn,Heimo
930fn,Ernest
931fn,Anto
932fn,Woldemar
933fn,Selim
934fn,Dursun
935fn,Engin
936fn,Abraham
937fn,Reinald
938fn,Mattias
939fn,Janko
940fn,Ekkehart
941fn,Bela
942fn,Aleksej
943fn,Silvester
944fn,Janus
945fn,Ilhan
946fn,Elias
947fn,Giorgio
948fn,Dino
949fn,Pero
950fn,Muharrem
951fn,Mesut
952fn,Lorenzo
953fn,Thorben
954fn,Rigo
955fn,Oscar
956fn,Gino
957fn,Matteo
958fn,Klaus-Ulrich
959fn,Francis
960fn,Zdravko
961fn,Reginald
962fn,Mehdi
963fn,Karl-Jürgen
964fn,Cetin
965fn,Milos
966fn,Friedo
967fn,Nuri
968fn,Nurettin
969fn,Eggert
970fn,Ralf-Dieter
971fn,Pirmin
972fn,Bernd-Dieter
973fn,Zenon
974fn,Senol
975fn,Klaus-Günter
976fn,Cemil
977fn,Abram
978fn,Sebastiano
979fn,Mijo
980fn,Grzegorz
981fn,Gerolf
982fn,Arnfried
983fn,Ada
984fn,Sigismund
985fn,Riza
986fn,Miodrag
987fn,Faruk
988fn,Imre
989fn,Ian
990fn,Marten
991fn,Hans-Hinrich
992fn,Abbas
993fn,Tillmann
994fn,Marvin
995fn,Ignatz
996fn,Kay-Uwe
997fn,Alexei
998fn,Willibert
999fn,Vittorio
1000fn,Fredo
1001fn,Fatih
